"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","11","Stocks","2007","Head","4357000.00000",""
"Afghanistan","11","Stocks","2006","Head","4110000.00000",""
"Afghanistan","11","Stocks","2005","Head","3723000.00000",""
"Afghanistan","11","Stocks","2004","Head","3494000.00000",""
"Afghanistan","11","Stocks","2003","Head","3829000.00000",""
"Afghanistan","11","Stocks","2002","Head","3715000.00000",""
"Afghanistan","11","Stocks","2001","Head","2249000.00000",""
"Afghanistan","11","Stocks","2000","Head","2900000.00000","F "
"Afghanistan","11","Stocks","1999","Head","3477549.00000",""
"Afghanistan","11","Stocks","1998","Head","3008330.00000",""
"Afghanistan","11","Stocks","1997","Head","2895000.00000",""
"Afghanistan","11","Stocks","1996","Head","2641400.00000",""
"Afghanistan","11","Stocks","1995","Head","2094560.00000",""
"Afghanistan","11","Stocks","1994","Head","1900000.00000","F "
"Afghanistan","11","Stocks","1993","Head","1800000.00000","F "
"Afghanistan","11","Stocks","1992","Head","1700000.00000","F "
"Afghanistan","11","Stocks","1991","Head","1600000.00000","F "
"Afghanistan","11","Stocks","1990","Head","1600000.00000","F "
"Afghanistan","11","Stocks","1989","Head","1600000.00000","F "
"Afghanistan","11","Stocks","1988","Head","1600000.00000","F "
"Afghanistan","11","Stocks","1987","Head","1580000.00000","F "
"Afghanistan","11","Stocks","1986","Head","1532000.00000",""
"Afghanistan","11","Stocks","1985","Head","2200000.00000","F "
"Afghanistan","11","Stocks","1984","Head","2700000.00000","F "
"Afghanistan","11","Stocks","1983","Head","3500000.00000","F "
"Afghanistan","11","Stocks","1982","Head","3740000.00000",""
"Afghanistan","11","Stocks","1981","Head","3750000.00000",""
"Afghanistan","11","Stocks","1980","Head","3710000.00000",""
"Afghanistan","11","Stocks","1979","Head","3710000.00000",""
"Afghanistan","11","Stocks","1978","Head","3730000.00000",""
"Afghanistan","11","Stocks","1977","Head","3650000.00000",""
"Afghanistan","11","Stocks","1976","Head","3700000.00000",""
"Afghanistan","11","Stocks","1975","Head","3639000.00000","F "
"Afghanistan","11","Stocks","1974","Head","3433000.00000","F "
"Afghanistan","11","Stocks","1973","Head","3232000.00000","F "
"Afghanistan","11","Stocks","1972","Head","3400000.00000",""
"Afghanistan","11","Stocks","1971","Head","3680000.00000",""
"Afghanistan","11","Stocks","1970","Head","3700000.00000",""
"Afghanistan","11","Stocks","1969","Head","3600000.00000",""
"Afghanistan","11","Stocks","1968","Head","3633000.00000",""
"Afghanistan","11","Stocks","1967","Head","3600000.00000",""
"Afghanistan","11","Stocks","1966","Head","3600000.00000",""
"Afghanistan","11","Stocks","1965","Head","3400000.00000","F "
"Afghanistan","11","Stocks","1964","Head","3350000.00000","F "
"Afghanistan","11","Stocks","1963","Head","3300000.00000","F "
"Afghanistan","11","Stocks","1962","Head","3200000.00000","F "
"Afghanistan","11","Stocks","1961","Head","2900000.00000",""
"Africa +","11","Stocks","2007","Head","259341449.00000","A "
"Africa +","11","Stocks","2006","Head","255203498.00000","A "
"Africa +","11","Stocks","2005","Head","251434546.00000","A "
"Africa +","11","Stocks","2004","Head","243017181.00000","A "
"Africa +","11","Stocks","2003","Head","240905279.00000","A "
"Africa +","11","Stocks","2002","Head","238056494.00000","A "
"Africa +","11","Stocks","2001","Head","231903048.00000","A "
"Africa +","11","Stocks","2000","Head","227926167.00000","A "
"Africa +","11","Stocks","1999","Head","228463301.00000","A "
"Africa +","11","Stocks","1998","Head","219182136.00000","A "
"Africa +","11","Stocks","1997","Head","212216662.00000","A "
"Africa +","11","Stocks","1996","Head","205559372.00000","A "
"Africa +","11","Stocks","1995","Head","202898872.00000","A "
"Africa +","11","Stocks","1994","Head","197770576.00000","A "
"Africa +","11","Stocks","1993","Head","195616745.00000","A "
"Africa +","11","Stocks","1992","Head","194549127.00000","A "
"Africa +","11","Stocks","1991","Head","188929306.00000","A "
"Africa +","11","Stocks","1990","Head","189209607.00000","A "
"Africa +","11","Stocks","1989","Head","185050723.00000","A "
"Africa +","11","Stocks","1988","Head","180106199.00000","A "
"Africa +","11","Stocks","1987","Head","176994949.00000","A "
"Africa +","11","Stocks","1986","Head","178489196.00000","A "
"Africa +","11","Stocks","1985","Head","176510621.00000","A "
"Africa +","11","Stocks","1984","Head","175341822.00000","A "
"Africa +","11","Stocks","1983","Head","179841800.00000","A "
"Africa +","11","Stocks","1982","Head","178341863.00000","A "
"Africa +","11","Stocks","1981","Head","174438509.00000","A "
"Africa +","11","Stocks","1980","Head","172531828.00000","A "
"Africa +","11","Stocks","1979","Head","171602013.00000","A "
"Africa +","11","Stocks","1978","Head","166616766.00000","A "
"Africa +","11","Stocks","1977","Head","161860216.00000","A "
"Africa +","11","Stocks","1976","Head","158341559.00000","A "
