"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","11","Stocks","2007","1000 Head","9035.00000",""
"Afghanistan","11","Stocks","2006","1000 Head","10880.00000",""
"Afghanistan","11","Stocks","2005","1000 Head","14414.00000",""
"Afghanistan","11","Stocks","2004","1000 Head","13022.00000",""
"Afghanistan","11","Stocks","2003","1000 Head","12402.00000",""
"Afghanistan","11","Stocks","2002","1000 Head","12156.00000",""
"Afghanistan","11","Stocks","2001","1000 Head","6844.00000",""
"Afghanistan","11","Stocks","2000","1000 Head","6856.00000",""
"Afghanistan","11","Stocks","1999","1000 Head","7400.00000",""
"Afghanistan","11","Stocks","1998","1000 Head","7828.00000",""
"Afghanistan","11","Stocks","1997","1000 Head","8000.00000","F "
"Afghanistan","11","Stocks","1996","1000 Head","8000.00000","F "
"Afghanistan","11","Stocks","1995","1000 Head","6602.00000",""
"Afghanistan","11","Stocks","1994","1000 Head","6200.00000","F "
"Afghanistan","11","Stocks","1993","1000 Head","6300.00000","F "
"Afghanistan","11","Stocks","1992","1000 Head","6400.00000","F "
"Afghanistan","11","Stocks","1991","1000 Head","6500.00000","F "
"Afghanistan","11","Stocks","1990","1000 Head","6600.00000","F "
"Afghanistan","11","Stocks","1989","1000 Head","6700.00000","F "
"Afghanistan","11","Stocks","1988","1000 Head","6800.00000","F "
"Afghanistan","11","Stocks","1987","1000 Head","6900.00000","F "
"Afghanistan","11","Stocks","1986","1000 Head","7000.00000",""
"Afghanistan","11","Stocks","1985","1000 Head","6900.00000","F "
"Afghanistan","11","Stocks","1984","1000 Head","6800.00000","F "
"Afghanistan","11","Stocks","1983","1000 Head","6700.00000","F "
"Afghanistan","11","Stocks","1982","1000 Head","6600.00000",""
"Afghanistan","11","Stocks","1981","1000 Head","6600.00000",""
"Afghanistan","11","Stocks","1980","1000 Head","6400.00000",""
"Afghanistan","11","Stocks","1979","1000 Head","6400.00000","F "
"Afghanistan","11","Stocks","1978","1000 Head","6200.00000",""
"Afghanistan","11","Stocks","1977","1000 Head","6300.00000","F "
"Afghanistan","11","Stocks","1976","1000 Head","6200.00000","F "
"Afghanistan","11","Stocks","1975","1000 Head","6200.00000","F "
"Afghanistan","11","Stocks","1974","1000 Head","6100.00000","F "
"Afghanistan","11","Stocks","1973","1000 Head","6100.00000","F "
"Afghanistan","11","Stocks","1972","1000 Head","6000.00000","F "
"Afghanistan","11","Stocks","1971","1000 Head","6000.00000","F "
"Afghanistan","11","Stocks","1970","1000 Head","6000.00000","F "
"Afghanistan","11","Stocks","1969","1000 Head","6300.00000","F "
"Afghanistan","11","Stocks","1968","1000 Head","6290.00000",""
"Afghanistan","11","Stocks","1967","1000 Head","6600.00000","F "
"Afghanistan","11","Stocks","1966","1000 Head","5800.00000","F "
"Afghanistan","11","Stocks","1965","1000 Head","5500.00000","F "
"Afghanistan","11","Stocks","1964","1000 Head","5300.00000","F "
"Afghanistan","11","Stocks","1963","1000 Head","5000.00000","F "
"Afghanistan","11","Stocks","1962","1000 Head","4900.00000","F "
"Afghanistan","11","Stocks","1961","1000 Head","4700.00000","F "
"Africa +","11","Stocks","2007","1000 Head","1382310.00000","A "
"Africa +","11","Stocks","2006","1000 Head","1364226.00000","A "
"Africa +","11","Stocks","2005","1000 Head","1354744.00000","A "
"Africa +","11","Stocks","2004","1000 Head","1358572.00000","A "
"Africa +","11","Stocks","2003","1000 Head","1339914.00000","A "
"Africa +","11","Stocks","2002","1000 Head","1313227.00000","A "
"Africa +","11","Stocks","2001","1000 Head","1261025.00000","A "
"Africa +","11","Stocks","2000","1000 Head","1201055.00000","A "
"Africa +","11","Stocks","1999","1000 Head","1192144.00000","A "
"Africa +","11","Stocks","1998","1000 Head","1152737.00000","A "
"Africa +","11","Stocks","1997","1000 Head","1088501.00000","A "
"Africa +","11","Stocks","1996","1000 Head","1035965.00000","A "
"Africa +","11","Stocks","1995","1000 Head","1020413.00000","A "
"Africa +","11","Stocks","1994","1000 Head","959206.00000","A "
"Africa +","11","Stocks","1993","1000 Head","935221.00000","A "
"Africa +","11","Stocks","1992","1000 Head","937718.00000","A "
"Africa +","11","Stocks","1991","1000 Head","917473.00000","A "
"Africa +","11","Stocks","1990","1000 Head","907901.00000","A "
"Africa +","11","Stocks","1989","1000 Head","822412.00000","A "
"Africa +","11","Stocks","1988","1000 Head","795157.00000","A "
"Africa +","11","Stocks","1987","1000 Head","765334.00000","A "
"Africa +","11","Stocks","1986","1000 Head","737332.00000","A "
"Africa +","11","Stocks","1985","1000 Head","694643.00000","A "
"Africa +","11","Stocks","1984","1000 Head","655655.00000","A "
"Africa +","11","Stocks","1983","1000 Head","625045.00000","A "
"Africa +","11","Stocks","1982","1000 Head","606139.00000","A "
"Africa +","11","Stocks","1981","1000 Head","576868.00000","A "
"Africa +","11","Stocks","1980","1000 Head","556265.00000","A "
"Africa +","11","Stocks","1979","1000 Head","539211.00000","A "
"Africa +","11","Stocks","1978","1000 Head","520122.00000","A "
"Africa +","11","Stocks","1977","1000 Head","510704.00000","A "
"Africa +","11","Stocks","1976","1000 Head","486342.00000","A "
"Africa +","11","Stocks","1975","1000 Head","465425.00000","A "
"Africa +","11","Stocks","1974","1000 Head","446998.00000","A "
"Africa +","11","Stocks","1973","1000 Head","445103.00000","A "
