"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Africa +","11","Stocks","2007","1000 Head","16895.00000","A "
"Africa +","11","Stocks","2006","1000 Head","16492.00000","A "
"Africa +","11","Stocks","2005","1000 Head","16344.00000","A "
"Africa +","11","Stocks","2004","1000 Head","16368.00000","A "
"Africa +","11","Stocks","2003","1000 Head","16367.00000","A "
"Africa +","11","Stocks","2002","1000 Head","16362.00000","A "
"Africa +","11","Stocks","2001","1000 Head","16215.00000","A "
"Africa +","11","Stocks","2000","1000 Head","16245.00000","A "
"Africa +","11","Stocks","1999","1000 Head","15974.00000","A "
"Africa +","11","Stocks","1998","1000 Head","15738.00000","A "
"Africa +","11","Stocks","1997","1000 Head","15200.00000","A "
"Africa +","11","Stocks","1996","1000 Head","14662.00000","A "
"Africa +","11","Stocks","1995","1000 Head","13918.00000","A "
"Africa +","11","Stocks","1994","1000 Head","13482.00000","A "
"Africa +","11","Stocks","1993","1000 Head","13439.00000","A "
"Africa +","11","Stocks","1992","1000 Head","13221.00000","A "
"Africa +","11","Stocks","1991","1000 Head","13130.00000","A "
"Africa +","11","Stocks","1990","1000 Head","12871.00000","A "
"Africa +","11","Stocks","1989","1000 Head","12349.00000","A "
"Africa +","11","Stocks","1988","1000 Head","12160.00000","A "
"Africa +","11","Stocks","1987","1000 Head","11644.00000","A "
"Africa +","11","Stocks","1986","1000 Head","11938.00000","A "
"Africa +","11","Stocks","1985","1000 Head","11501.00000","A "
"Africa +","11","Stocks","1984","1000 Head","10707.00000","A "
"Africa +","11","Stocks","1983","1000 Head","10089.00000","A "
"Africa +","11","Stocks","1982","1000 Head","9108.00000","A "
"Africa +","11","Stocks","1981","1000 Head","7777.00000","A "
"Africa +","11","Stocks","1980","1000 Head","7842.00000","A "
"Africa +","11","Stocks","1979","1000 Head","8469.00000","A "
"Africa +","11","Stocks","1978","1000 Head","8397.00000","A "
"Africa +","11","Stocks","1977","1000 Head","8124.00000","A "
"Africa +","11","Stocks","1976","1000 Head","8044.00000","A "
"Africa +","11","Stocks","1975","1000 Head","8183.00000","A "
"Africa +","11","Stocks","1974","1000 Head","8047.00000","A "
"Africa +","11","Stocks","1973","1000 Head","8274.00000","A "
"Africa +","11","Stocks","1972","1000 Head","8204.00000","A "
"Africa +","11","Stocks","1971","1000 Head","8132.00000","A "
"Africa +","11","Stocks","1970","1000 Head","7945.00000","A "
