"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","11","Stocks","2007","Head","5387000.00000",""
"Afghanistan","11","Stocks","2006","Head","6746000.00000",""
"Afghanistan","11","Stocks","2005","Head","6977000.00000",""
"Afghanistan","11","Stocks","2004","Head","7648000.00000",""
"Afghanistan","11","Stocks","2003","Head","7425000.00000",""
"Afghanistan","11","Stocks","2002","Head","7281000.00000",""
"Afghanistan","11","Stocks","2001","Head","5003000.00000",""
"Afghanistan","11","Stocks","2000","Head","7300000.00000","F "
"Afghanistan","11","Stocks","1999","Head","7372893.00000",""
"Afghanistan","11","Stocks","1998","Head","6599458.00000",""
"Afghanistan","11","Stocks","1997","Head","5530500.00000",""
"Afghanistan","11","Stocks","1996","Head","4608500.00000",""
"Afghanistan","11","Stocks","1995","Head","5389094.00000",""
"Afghanistan","11","Stocks","1994","Head","4750000.00000","F "
"Afghanistan","11","Stocks","1993","Head","4400000.00000","F "
"Afghanistan","11","Stocks","1992","Head","4050000.00000","F "
"Afghanistan","11","Stocks","1991","Head","3700000.00000","F "
"Afghanistan","11","Stocks","1990","Head","3350000.00000","F "
"Afghanistan","11","Stocks","1989","Head","3000000.00000","F "
"Afghanistan","11","Stocks","1988","Head","2650000.00000","F "
"Afghanistan","11","Stocks","1987","Head","2300000.00000","F "
"Afghanistan","11","Stocks","1986","Head","1944000.00000",""
"Afghanistan","11","Stocks","1985","Head","2250000.00000","F "
"Afghanistan","11","Stocks","1984","Head","2500000.00000","F "
"Afghanistan","11","Stocks","1983","Head","2700000.00000","F "
"Afghanistan","11","Stocks","1982","Head","2900000.00000",""
"Afghanistan","11","Stocks","1981","Head","2900000.00000",""
"Afghanistan","11","Stocks","1980","Head","2850000.00000",""
"Afghanistan","11","Stocks","1979","Head","2885000.00000",""
"Afghanistan","11","Stocks","1978","Head","3000000.00000",""
"Afghanistan","11","Stocks","1977","Head","3000000.00000",""
"Afghanistan","11","Stocks","1976","Head","3000000.00000",""
"Afghanistan","11","Stocks","1975","Head","3000000.00000",""
"Afghanistan","11","Stocks","1974","Head","2750000.00000",""
"Afghanistan","11","Stocks","1973","Head","2450000.00000",""
"Afghanistan","11","Stocks","1972","Head","2000000.00000",""
"Afghanistan","11","Stocks","1971","Head","3100000.00000",""
"Afghanistan","11","Stocks","1970","Head","3200000.00000",""
"Afghanistan","11","Stocks","1969","Head","3000000.00000",""
"Afghanistan","11","Stocks","1968","Head","3187000.00000",""
"Afghanistan","11","Stocks","1967","Head","3200000.00000",""
"Afghanistan","11","Stocks","1966","Head","3200000.00000",""
"Afghanistan","11","Stocks","1965","Head","3200000.00000",""
"Afghanistan","11","Stocks","1964","Head","3500000.00000","F "
"Afghanistan","11","Stocks","1963","Head","3800000.00000","F "
"Afghanistan","11","Stocks","1962","Head","4087270.00000",""
