"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Africa +","11","Stocks","2007","Head","25208752.00000","A "
"Africa +","11","Stocks","2006","Head","24230087.00000","A "
"Africa +","11","Stocks","2005","Head","23605980.00000","A "
"Africa +","11","Stocks","2004","Head","22378677.00000","A "
"Africa +","11","Stocks","2003","Head","21464445.00000","A "
"Africa +","11","Stocks","2002","Head","21413841.00000","A "
"Africa +","11","Stocks","2001","Head","20076078.00000","A "
"Africa +","11","Stocks","2000","Head","19573229.00000","A "
"Africa +","11","Stocks","1999","Head","18824244.00000","A "
"Africa +","11","Stocks","1998","Head","19031119.00000","A "
"Africa +","11","Stocks","1997","Head","18879959.00000","A "
"Africa +","11","Stocks","1996","Head","18287004.00000","A "
"Africa +","11","Stocks","1995","Head","18121687.00000","A "
"Africa +","11","Stocks","1994","Head","17674766.00000","A "
"Africa +","11","Stocks","1993","Head","17305821.00000","A "
"Africa +","11","Stocks","1992","Head","17122906.00000","A "
"Africa +","11","Stocks","1991","Head","16771260.00000","A "
"Africa +","11","Stocks","1990","Head","16453331.00000","A "
"Africa +","11","Stocks","1989","Head","15352430.00000","A "
"Africa +","11","Stocks","1988","Head","14139952.00000","A "
"Africa +","11","Stocks","1987","Head","13752551.00000","A "
"Africa +","11","Stocks","1986","Head","13162290.00000","A "
"Africa +","11","Stocks","1985","Head","11968304.00000","A "
"Africa +","11","Stocks","1984","Head","11057503.00000","A "
"Africa +","11","Stocks","1983","Head","10564971.00000","A "
"Africa +","11","Stocks","1982","Head","10449030.00000","A "
"Africa +","11","Stocks","1981","Head","10738582.00000","A "
"Africa +","11","Stocks","1980","Head","10172746.00000","A "
"Africa +","11","Stocks","1979","Head","9683490.00000","A "
"Africa +","11","Stocks","1978","Head","9427969.00000","A "
"Africa +","11","Stocks","1977","Head","9001468.00000","A "
"Africa +","11","Stocks","1976","Head","8567008.00000","A "
"Africa +","11","Stocks","1975","Head","8144108.00000","A "
"Africa +","11","Stocks","1974","Head","7907838.00000","A "
"Africa +","11","Stocks","1973","Head","7820543.00000","A "
"Africa +","11","Stocks","1972","Head","7742941.00000","A "
"Africa +","11","Stocks","1971","Head","7379821.00000","A "
"Africa +","11","Stocks","1970","Head","7208400.00000","A "
"Africa +","11","Stocks","1969","Head","7113065.00000","A "
"Africa +","11","Stocks","1968","Head","6712698.00000","A "
"Africa +","11","Stocks","1967","Head","6329910.00000","A "
"Africa +","11","Stocks","1966","Head","6224684.00000","A "
"Africa +","11","Stocks","1965","Head","6172668.00000","A "
"Africa +","11","Stocks","1964","Head","6192182.00000","A "
"Africa +","11","Stocks","1963","Head","5960056.00000","A "
"Africa +","11","Stocks","1962","Head","5814898.00000","A "
"Africa +","11","Stocks","1961","Head","5667825.00000","A "
"Albania","11","Stocks","2007","Head","147000.00000",""
"Albania","11","Stocks","2006","Head","152000.00000",""
"Albania","11","Stocks","2005","Head","147000.00000",""
"Albania","11","Stocks","2004","Head","143100.00000",""
"Albania","11","Stocks","2003","Head","132000.00000",""
"Albania","11","Stocks","2002","Head","114000.00000",""
"Albania","11","Stocks","2001","Head","106000.00000",""
"Albania","11","Stocks","2000","Head","103000.00000",""
"Albania","11","Stocks","1999","Head","81000.00000",""
"Albania","11","Stocks","1998","Head","83000.00000",""
"Albania","11","Stocks","1997","Head","97000.00000",""
"Albania","11","Stocks","1996","Head","98000.00000",""
"Albania","11","Stocks","1995","Head","100000.00000",""
"Albania","11","Stocks","1994","Head","98100.00000",""
"Albania","11","Stocks","1993","Head","92800.00000",""
"Albania","11","Stocks","1992","Head","90300.00000",""
"Albania","11","Stocks","1991","Head","147500.00000",""
"Albania","11","Stocks","1990","Head","219700.00000",""
"Albania","11","Stocks","1989","Head","181000.00000",""
"Albania","11","Stocks","1988","Head","196000.00000",""
"Albania","11","Stocks","1987","Head","214000.00000",""
"Albania","11","Stocks","1986","Head","209000.00000",""
"Albania","11","Stocks","1985","Head","204000.00000",""
"Albania","11","Stocks","1984","Head","200000.00000","F "
"Albania","11","Stocks","1983","Head","200000.00000","F "
"Albania","11","Stocks","1982","Head","204600.00000","F "
"Albania","11","Stocks","1981","Head","186000.00000","F "
"Albania","11","Stocks","1980","Head","174300.00000",""
"Albania","11","Stocks","1979","Head","160600.00000","F "
"Albania","11","Stocks","1978","Head","148900.00000","F "
"Albania","11","Stocks","1977","Head","140100.00000","F "
"Albania","11","Stocks","1976","Head","132200.00000","F "
"Albania","11","Stocks","1975","Head","126200.00000","F "
"Albania","11","Stocks","1974","Head","122200.00000","F "
"Albania","11","Stocks","1973","Head","119500.00000","F "
"Albania","11","Stocks","1972","Head","116700.00000",""
"Albania","11","Stocks","1971","Head","114800.00000",""
"Albania","11","Stocks","1970","Head","116400.00000",""
"Albania","11","Stocks","1969","Head","113600.00000",""
"Albania","11","Stocks","1968","Head","115500.00000",""
"Albania","11","Stocks","1967","Head","137400.00000",""
"Albania","11","Stocks","1966","Head","140600.00000",""
"Albania","11","Stocks","1965","Head","146600.00000",""
"Albania","11","Stocks","1964","Head","111500.00000",""
"Albania","11","Stocks","1963","Head","108000.00000",""
"Albania","11","Stocks","1962","Head","128100.00000",""
"Albania","11","Stocks","1961","Head","130400.00000",""
"Algeria","11","Stocks","2007","Head","5700.00000","F "
"Algeria","11","Stocks","2006","Head","5700.00000","F "
"Algeria","11","Stocks","2005","Head","5700.00000","F "
"Algeria","11","Stocks","2004","Head","5700.00000","F "
"Algeria","11","Stocks","2003","Head","5700.00000","F "
"Algeria","11","Stocks","2002","Head","5700.00000","F "
"Algeria","11","Stocks","2001","Head","5700.00000","F "
"Algeria","11","Stocks","2000","Head","5700.00000","F "
"Algeria","11","Stocks","1999","Head","5700.00000","F "
"Algeria","11","Stocks","1998","Head","5700.00000","F "
"Algeria","11","Stocks","1997","Head","5700.00000","F "
"Algeria","11","Stocks","1996","Head","5700.00000","F "
"Algeria","11","Stocks","1995","Head","5700.00000","F "
"Algeria","11","Stocks","1994","Head","5700.00000","F "
"Algeria","11","Stocks","1993","Head","5500.00000","F "
"Algeria","11","Stocks","1992","Head","5500.00000","F "
"Algeria","11","Stocks","1991","Head","5400.00000","F "
"Algeria","11","Stocks","1990","Head","5300.00000","F "
"Algeria","11","Stocks","1989","Head","5200.00000","F "
"Algeria","11","Stocks","1988","Head","5200.00000","F "
"Algeria","11","Stocks","1987","Head","5100.00000","F "
"Algeria","11","Stocks","1986","Head","5000.00000","F "
"Algeria","11","Stocks","1985","Head","4900.00000","F "
"Algeria","11","Stocks","1984","Head","4800.00000","F "
