"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","11","Stocks","2007","Head","8105000.00000",""
"Afghanistan","11","Stocks","2006","Head","9259000.00000",""
"Afghanistan","11","Stocks","2005","Head","10773000.00000",""
"Afghanistan","11","Stocks","2004","Head","10136000.00000",""
"Afghanistan","11","Stocks","2003","Head","9074000.00000",""
"Afghanistan","11","Stocks","2002","Head","8773000.00000",""
"Afghanistan","11","Stocks","2001","Head","13955000.00000",""
"Afghanistan","11","Stocks","2000","Head","15000000.00000","F "
"Afghanistan","11","Stocks","1999","Head","17690422.00000",""
"Afghanistan","11","Stocks","1998","Head","16251608.00000",""
"Afghanistan","11","Stocks","1997","Head","15110000.00000",""
"Afghanistan","11","Stocks","1996","Head","13965000.00000",""
"Afghanistan","11","Stocks","1995","Head","12568186.00000",""
"Afghanistan","11","Stocks","1994","Head","13000000.00000","F "
"Afghanistan","11","Stocks","1993","Head","13000000.00000","F "
"Afghanistan","11","Stocks","1992","Head","13500000.00000","F "
"Afghanistan","11","Stocks","1991","Head","14200000.00000",""
"Afghanistan","11","Stocks","1990","Head","14170000.00000",""
"Afghanistan","11","Stocks","1989","Head","14150000.00000",""
"Afghanistan","11","Stocks","1988","Head","14150000.00000",""
"Afghanistan","11","Stocks","1987","Head","12000000.00000","F "
"Afghanistan","11","Stocks","1986","Head","10500000.00000",""
"Afghanistan","11","Stocks","1985","Head","13600000.00000","F "
"Afghanistan","11","Stocks","1984","Head","14900000.00000","F "
"Afghanistan","11","Stocks","1983","Head","16900000.00000","F "
"Afghanistan","11","Stocks","1982","Head","18900000.00000",""
"Afghanistan","11","Stocks","1981","Head","18900000.00000",""
"Afghanistan","11","Stocks","1980","Head","18700000.00000",""
"Afghanistan","11","Stocks","1979","Head","18400000.00000",""
"Afghanistan","11","Stocks","1978","Head","19075008.00000",""
"Afghanistan","11","Stocks","1977","Head","20244000.00000",""
"Afghanistan","11","Stocks","1976","Head","21200000.00000",""
"Afghanistan","11","Stocks","1975","Head","20417008.00000",""
"Afghanistan","11","Stocks","1974","Head","18000000.00000","F "
"Afghanistan","11","Stocks","1973","Head","16000000.00000","F "
"Afghanistan","11","Stocks","1972","Head","12840000.00000",""
"Afghanistan","11","Stocks","1971","Head","21400000.00000",""
"Afghanistan","11","Stocks","1970","Head","21500000.00000",""
"Afghanistan","11","Stocks","1969","Head","21490000.00000",""
"Afghanistan","11","Stocks","1968","Head","21455008.00000",""
"Afghanistan","11","Stocks","1967","Head","20600000.00000",""
"Afghanistan","11","Stocks","1966","Head","20600000.00000",""
"Afghanistan","11","Stocks","1965","Head","19600000.00000","F "
"Afghanistan","11","Stocks","1964","Head","19000000.00000","F "
"Afghanistan","11","Stocks","1963","Head","18500000.00000","F "
"Afghanistan","11","Stocks","1962","Head","18150000.00000","F "
"Afghanistan","11","Stocks","1961","Head","18000000.00000","F "
"Africa +","11","Stocks","2007","Head","279721562.00000","A "
"Africa +","11","Stocks","2006","Head","280490943.00000","A "
"Africa +","11","Stocks","2005","Head","274858735.00000","A "
"Africa +","11","Stocks","2004","Head","268242637.00000","A "
"Africa +","11","Stocks","2003","Head","260151791.00000","A "
"Africa +","11","Stocks","2002","Head","255536707.00000","A "
"Africa +","11","Stocks","2001","Head","251871199.00000","A "
"Africa +","11","Stocks","2000","Head","245449797.00000","A "
"Africa +","11","Stocks","1999","Head","242256419.00000","A "
"Africa +","11","Stocks","1998","Head","233904258.00000","A "
"Africa +","11","Stocks","1997","Head","226242687.00000","A "
"Africa +","11","Stocks","1996","Head","219073276.00000","A "
"Africa +","11","Stocks","1995","Head","212823454.00000","A "
"Africa +","11","Stocks","1994","Head","211672885.00000","A "
"Africa +","11","Stocks","1993","Head","202236775.00000","A "
"Africa +","11","Stocks","1992","Head","207881693.00000","A "
"Africa +","11","Stocks","1991","Head","206050462.00000","A "
"Africa +","11","Stocks","1990","Head","207487221.00000","A "
"Africa +","11","Stocks","1989","Head","205348424.00000","A "
"Africa +","11","Stocks","1988","Head","197288062.00000","A "
"Africa +","11","Stocks","1987","Head","194784669.00000","A "
"Africa +","11","Stocks","1986","Head","190135309.00000","A "
"Africa +","11","Stocks","1985","Head","189194909.00000","A "
"Africa +","11","Stocks","1984","Head","185419021.00000","A "
"Africa +","11","Stocks","1983","Head","188799089.00000","A "
"Africa +","11","Stocks","1982","Head","187434274.00000","A "
"Africa +","11","Stocks","1981","Head","186406579.00000","A "
"Africa +","11","Stocks","1980","Head","184759023.00000","A "
"Africa +","11","Stocks","1979","Head","176635374.00000","A "
"Africa +","11","Stocks","1978","Head","174353418.00000","A "
"Africa +","11","Stocks","1977","Head","170728069.00000","A "
"Africa +","11","Stocks","1976","Head","163261810.00000","A "
"Africa +","11","Stocks","1975","Head","163111673.00000","A "
"Africa +","11","Stocks","1974","Head","158247775.00000","A "
"Africa +","11","Stocks","1973","Head","158704400.00000","A "
"Africa +","11","Stocks","1972","Head","156825440.00000","A "
"Africa +","11","Stocks","1971","Head","160639846.00000","A "
"Africa +","11","Stocks","1970","Head","159251340.00000","A "
"Africa +","11","Stocks","1969","Head","161221845.00000","A "
"Africa +","11","Stocks","1968","Head","157983286.00000","A "
"Africa +","11","Stocks","1967","Head","153706728.00000","A "
"Africa +","11","Stocks","1966","Head","150837351.00000","A "
"Africa +","11","Stocks","1965","Head","143311749.00000","A "
"Africa +","11","Stocks","1964","Head","137296515.00000","A "
"Africa +","11","Stocks","1963","Head","134184178.00000","A "
"Africa +","11","Stocks","1962","Head","133230530.00000","A "
"Africa +","11","Stocks","1961","Head","135126153.00000","A "
"Albania","11","Stocks","2007","Head","1853000.00000",""
"Albania","11","Stocks","2006","Head","1830000.00000",""
"Albania","11","Stocks","2005","Head","1760000.00000",""
"Albania","11","Stocks","2004","Head","1794000.00000",""
"Albania","11","Stocks","2003","Head","1903000.00000",""
"Albania","11","Stocks","2002","Head","1844000.00000",""
"Albania","11","Stocks","2001","Head","1905800.00000",""
"Albania","11","Stocks","2000","Head","1939000.00000",""
"Albania","11","Stocks","1999","Head","1941000.00000",""
"Albania","11","Stocks","1998","Head","1872000.00000",""
"Albania","11","Stocks","1997","Head","1858000.00000",""
"Albania","11","Stocks","1996","Head","1982000.00000",""
"Albania","11","Stocks","1995","Head","2480000.00000",""
"Albania","11","Stocks","1994","Head","2460000.00000",""
"Albania","11","Stocks","1993","Head","1911800.00000",""
"Albania","11","Stocks","1992","Head","1796000.00000",""
"Albania","11","Stocks","1991","Head","1696000.00000",""
"Albania","11","Stocks","1990","Head","1646300.00000",""
"Albania","11","Stocks","1989","Head","1592000.00000",""
"Albania","11","Stocks","1988","Head","1525000.00000",""
"Albania","11","Stocks","1987","Head","1432000.00000",""
"Albania","11","Stocks","1986","Head","1346000.00000",""
"Albania","11","Stocks","1985","Head","1318000.00000",""
"Albania","11","Stocks","1984","Head","1350000.00000","F "
"Albania","11","Stocks","1983","Head","1330000.00000","F "
"Albania","11","Stocks","1982","Head","1300000.00000","F "
"Albania","11","Stocks","1981","Head","1275000.00000","F "
"Albania","11","Stocks","1980","Head","1254000.00000",""
"Albania","11","Stocks","1979","Head","1167000.00000","F "
"Albania","11","Stocks","1978","Head","1163000.00000","F "
"Albania","11","Stocks","1977","Head","1162500.00000","F "
"Albania","11","Stocks","1976","Head","1162500.00000","F "
